,City,NickName,Province,Sex,Signature
48,深圳,《中医理疗》预约 :13226237888卢老师,广东,2,只要人類的病痛一天未能消除，我们的努力就一天不会停歇
49,湛江,? II Mo,广东,2,南极常驻客
50,湛江,东宏,广东,1,18476819315
51,,逃。,,1,
52,湛江,梁夜夜,广东,1,曾梦想仗剑走天涯
53,广州,庄声杰,广东,1,Being an enlivener so long as I survive.
54,梅州,红K,广东,1,三年云泥变，七载魂梦回。
55,湛江,武迦君?,广东,1,【3587856 53 | 狮子不过是大猫】
56,,hap,,1,相遇有时，后会无期
57,东莞,Kevin桂瑞,广东,1,有容，乃大
58,深圳,龙,广东,1,stay foolish，stay hungry
59,,卢玉桂,,2,"Hey,你踩到了我的笑点"
60,深圳,徐明聪,广东,1,"上帝的红苹果<span class=""emoji emoji1f34f""></span>"
61,广州,吖B,广东,2,???? ??? ? ? ?? ? …
62,,叶钤儿,,0,"Fake it.Untill you have it
心之所向，无往不成"
63,广州,?特,广东,2,你在别人眼里可能平凡普通，但你一直是我的信仰
64,汕头,初英future ?,广东,2,人生就算是做梦，也要做个像样子的梦。
65,湛江,林奇峰,广东,1,
66,广州,榕滨,广东,1,
67,广州,ヾ(???ヾ)^?啊咧？,广东,1,
68,深圳,卓子,广东,2,认清明日的去向，不忘昨日的来处
69,,Wennie ?,Kaohsiung City,2,"知足常乐<span class=""emoji emoji2764""></span>"
70,湛江,莫小肥,广东,2,(⊙o⊙)哦
71,广州,苏晓锋,广东,1,老粗出人物
72,湛江,olivia??,广东,2,
73,深圳,李轩嘉,广东,2,Dear GOD，thank You！^_^
74,广州,Astraeus,广东,2,今天不走，明天要跑
75,梅州,江一默,广东,1,一颗沙漠里的种子
76,Port Augusta,Yawn,South Australia,2,"stay hungry,stay foolish"
77,湛江,G。tn那没眼睛的刘海~,广东,2,故事长满天涯海角，有我的故乡你的远方。
78,湛江,末夏,广东,2,始终在努力与世界友好相处的路上！
79,揭阳,LYHIWTMFWYDYK,广东,1,做一个有实力又有情怀的人
80,广州,孙奋勇,广东,1,IFBS-千秋邈矣独留我，百战归来再读书
81,广州,-石雨峰,广东,1,"""我也看到了，他好像一条狗。"""
82,湛江,雪光下的樱花,广东,2,追梦吧少年
83,佛山,冼韵炫,广东,2,人生若只如初见
84,珠海,聪?,广东,1,
85,广州,志军?,广东,1,一花一世界
86,汕头,一LIAO,广东,1,
87,湛江,蓝子良,广东,1,你好！地球人
88,广州,飘,广东,1,
89,肇庆,__农民伯伯,广东,1,"被羊放的农民伯伯
『Once Studio』
『永久电话15819314255』"
90,中山,暴走海思,广东,2,哈哈哈
91,佛山,li婉莹,广东,2,
92,,包子须,,0,
93,,山楂,,2,"我们会一起遇见鲸鱼吗<span class=""emoji emoji1f433""></span>"
94,,孙湛平,,1,
95,广州,CyrilC,广东,1,不发朋友圈 没有屏蔽你^_^
96,汕头,黄灿鸿,广东,1,上帝喜欢你 所以才考验你。
97,汕头,来自土星的傻瓜,广东,2,不乱于心，不困于情，不畏将来，不念过往，如此～安好
98,广州,洪乐子,广东,2,"<span class=""emoji emoji2b50""></span>?<span class=""emoji emoji1f308""></span><span class=""emoji emoji2728""></span>???????<span class=""emoji emoji1f4a8""></span><span class=""emoji emoji1f30a""></span>???<span class=""emoji emoji1f525""></span><span class=""emoji emoji1f44b""></span>"
99,长春,陶坤,吉林,1,
100,茂名,李伟兰,广东,2,zi qi ci
101,,文克先生,,1,恰巧有人遇见你
102,湛江,扬帆起航,广东,1,你只是认识我而已……
103,广州,光略Θ,广东,1,不停地奔跑，只为追上曾被寄予厚望的自己。
104,广州,Janet??,广东,2,Whatever will be，will be
105,汕头,H,广东,2,和沉默做老朋友
106,揭阳,周焕凯,广东,0,
107,湛江,_涵,广东,2,不负相遇
108,广州,阿港,广东,1,！！！
109,广州,Caroline,广东,2,
110,中山,?,广东,2,"<span class=""emoji emoji1f33b""></span>读书·运动·学习<span class=""emoji emoji1f33b""></span>"
111,广州,曾成,广东,1,
112,,Luy1,Berlin,2,for Worse or for Better
113,Boston,? ? ?,Massachusetts,1,
114,湛江,我觉得我还是长长的名字更加好听,广东,1,
115,广州,芸,广东,2,随心随性
116,广州,马化钟,广东,1,王者归来
117,,陈丹瑜,,0,七成饱、三分醉、十足收成。
118,湛江,she's ting,广东,2,承你不离，我定不弃。
119,广州,郑灿群,广东,1,慎独
120,湛江,欧文,广东,2,"原来姹紫嫣红开遍,似这般都付与断井颓垣。"
121,,Let me,,1,It's a good thing to yield to the truth.
122,广州,阿媚,广东,2,
123,Townsville,武哥,Queensland,1,
124,佛山,?,广东,2,。。。
125,梅州,LLL-LY,广东,2,
126,广州,秀贞,广东,2,掬一捧如水的柔软于心间，放飞一份沉寂的梦想于远方！
127,湛江,陈昭杰,广东,1,最怕你一生碌碌无为，还安慰自己平凡可贵
128,,?鱼?,,2,"欲戴皇冠必承其重<span class=""emoji emoji1f451""></span>mamacita<span class=""emoji emoji1f525""></span>"
129,广州,筱汀,广东,2,不骄不躁，方得永久！
130,,陈雯奕,South Miladhunmadhulu,2,一个人的好天气?
131,,马俊 Charles,Berlin,1,
132,深圳,许家豪,广东,1,nice
133,广州,咔yi,广东,2,
134,广州,Sylvia ? ?,广东,2,活在这珍贵的世间  太阳强烈  水波温柔
135,,ee,,0,
136,广州,The Kite Runner,广东,1,。
137,东莞,印象,广东,2,
138,东莞,邓嘉欣,广东,2,
139,广州,庆真,广东,2,保持运动的倾向
140,,Mr.zi 華,,1,
141,广州,Junez? C,广东,2,
142,中山,小宛吃大碗 ?,广东,2,
143,Liverpool,谭国珩?,England,1,踏实做人，努力做事，努力改掉自己坏脾气
144,佛山,林熠,广东,1,耐心是一切聪明才智的基础。
145,广州,Boice,广东,2,
146,湛江,王小泽emma?,广东,2,"CPA<span class=""emoji emoji1f33f""></span>甜恩<span class=""emoji emoji1f63d""></span>XCIV"
147,江门,鸡腿宝,广东,1,要坚强 越努力 越幸运
148,广州,longlong,广东,2,
149,广州,李宜杰,广东,1,what do you care
150,广州,施人铭,广东,2,"您好<span class=""emoji emoji1f60a""></span>"
151,广州,刘琴,广东,2,
152,湛江,梁诗,广东,2,absabsabs
153,珠海,Kerry,广东,2,"Life is painting a picture,not doing a sum."
154,,花君子,,2,生活的真谛乃是简单的人自有简单的幸福
155,东莞,瑞琪,广东,2,岭深常得蛟龙在，梧高自有凤凰栖
156,广州,灵修中的花瓣会很香,广东,2,向死而生
157,,misanthropriane,,1,人类对自身总是有种特殊的情感
158,深圳,Nikki Luo,广东,2,
159,广州,姚守川 ,广东,1,自身尚缚，欲解他缚，无有是处
160,广州,揭根龙,广东,1,股市老鸟，理解趋势，洞察人性为致胜之道！
161,广州,丽英,广东,1,逆鳞
162,广州,CooL,广东,2,
163,广州,朱嘉楠,广东,2,"Facing adversity, building resilience and finding joy."
164,,黄丹雅,,0,输了自己，赢了世界又如何。
165,深圳,碧桂园IEC许剑杰,广东,1,一切都是最好的安排
166,湛江,BoBoG卉??～,广东,2,不求事事如意，只求事事尽心
167,汕头,??林嘉仪 ?,广东,2,你若盛开，清风自来
168,广州,锋,广东,1,对面的猪妖看过来~
169,深圳,Ashlyn_su?,广东,2,All your perfect imperfections
170,中山,广州银行-张子杰,广东,1,广州银行无抵押贷款，利息低至0.29%，欢迎致电15119565168张经理
171,湛江,sb,广东,1,表里不一
172,湛江,周俊君,广东,1,男儿志在四方
173,广州,小方,广东,2,
174,株洲,A  链家梅林大区 李祚,湖南,1,15013723716
175,,小桥流水,,2,眷似水流年，惜静好岁月。
176,江门,改变自己！yt,广东,1,对着镜子笑！
177,,郑小亭:）,Canberra,2,凡是你抗拒的 都会持续
178,湛江,吴燕,广东,0,相信一切就是最好的安排！
179,湛江,believe,广东,2,
180,深圳,Mr.L,广东,1,拾贰月零壹日
181,广州,Sü?,广东,2,
182,湛江,糖糖&amp;mx,广东,2,与其悔恨过去，不如奋斗未来！！
183,梅州,大恬?^^,广东,2,没有适合我的粉底液
184,New Haven,李會英子,Connecticut,2,As strong as you can
185,长沙,anderson,湖南,1,累吗？累就对了。舒服是留给死人的。
186,深圳,听风者,广东,1,忠诚 纯真 勇敢
187,,?,,2,再努力一点点，再一点点就够了。
188,广州,正广,广东,1,
189,,小马,,1,
190,,Flora羊,,2,
191,深圳,黄素英,广东,2,
192,,黄靖斯,,2,All I wanna do is trade this life for something new.
193,深圳,刘斯欣*-*,广东,2,
194,,Ashin,Paris,1,如果你还有梦，就该勇敢去追！
195,深圳,清风海浪,广东,1,如狼似虎；相亲相爱。
196,深圳,东东,广东,1,给大家拜年！
197,珠海,FuShiJe,广东,1,Be yourself.Everyone else is already taken.
198,汕头,瑞君,广东,2,
199,湛江,Jin m,广东,2,我喜欢上我名字上的j～
200,惠州,Jun.,广东,2,步履不停，必有收获。
201,深圳,? 阿杰,广东,2,8月加油！
202,湛江,许悦,广东,2,我！不能！懵逼！
203,,思思,,2,
204,揭阳,潇洒一,广东,1,我在远处看你，用的依然是少年的眼神
205,,Cora Liu,Central and Western,2,Are you going to Scarborough Fair?
206,湛江,月明,广东,2,湛江步步高小天才
207,湛江,卢月曼～平安金管家13189810199,广东,2,
208,深圳,alter#－.－Z洁,广东,2,我停下来了，可是路还在走
209,广州,jack,广东,1,结构性的成长将是未来投资的核心逻辑。
210,广州,诗怡怡怡,广东,2,对，是我。
211,广州,凤丽,广东,2,
212,广州,ROO晓婷婷,广东,2,要有多渴望，才能不想去拥有。
213,广州,蛮,广东,1,一只会照顾人的猫。
214,,毓龄,,2,年少和轻狂，被大人夸张，是谁规定了对的形状。
215,深圳,夏煲煲-Molly,广东,2,"海岸守护着海洋 默数着数不清的<span class=""emoji emoji1f30a""></span>"
216,广州,?晖晖?,广东,2,"姑娘，你的口红<span class=""emoji emoji1f484""></span>永远比纸巾重要。"
217,广州,书灿,广东,1,(-_-) zzz
218,东莞,陈旸,广东,1,文过我手无差错，事交我办你放心。
219,深圳,Lu-zyb,广东,1,日月之行，若出其中
220,广州,冼建国,广东,1,
221,广州,程裕,广东,0,
222,汕头,Yc,广东,2,
223,London,Magic,England,1,Can I Show You My World 
224,广州,巴甫洛夫,广东,1,莫往莫来，悠悠我思。
225,,P.c.way,,0,投资非一蹴而就，细水才能流长！
226,广州,郭翠桃,广东,2,每天都在进步…身体健康最大福气～
227,广州,杨迪,广东,2,一个信念，勇往直前！
228,佛山,Reacheal,广东,1,Nothing's  gonna  change  my  love  for  you！
229,揭阳,Joyce马铃薯?,广东,2,脚踏实地谋发展，努力努力再努力
230,汕尾,Sinoy·H,广东,1,有些事只适合收藏，不能说，也不能想，却又不能忘。
231,广安,Amber,四川,2,I'll try anything once
232,揭阳,雅雅,广东,2,
233,湛江,?,广东,1,前面的路会坎坷，让我们一起坚持
234,广州,好灿烂的冬,广东,1,大人者，不失其赤子之心者也
235,,豪开任,,1,
236,广州,黄丽双,广东,2,勿念
237,广州,荞麦君?,广东,2,Manners Maketh Man.
238,,Laura,,0,设立目标然后持之以恒，分散精力你将一事无成。
239,广州,武勇,广东,1,羽球好手
240,广州,梁秋秋,广东,2,做什么都是因为喜欢
241,,cheung wai kit,Sha Tin,1,
242,深圳,吴惠敏,广东,2,念念不忘，必有回响。
243,广州,李锴,广东,1,
244,London,思小敏,England,2,
245,广州,月明?,广东,2,愿你的笑容对得起你的皱纹～
246,广州,CARDS,广东,1,Aggressive
247,湛江,王若川,广东,1,
248,深圳,庾歌,广东,1,我与我周旋
249,,Zhudii,,2,能量守恒定律
250,湛江,谢科泽??,广东,1,不要觉得自己很努力了……
251,湛江,蘑菇熊,广东,2,得未曾有 心净踊跃
252,广州,小平平,广东,2,天线BB的频道
253,,咦、、吖怪,Madrid,2,怪吖姨、、、
254,汕头,劉～Janna,广东,2,玻璃心，抓紧时间好好学习
255,广州,希有,广东,2,"<span class=""emoji emoji1f5fd""></span>"
256,深圳,天祥,广东,1,为了太阳和蓝色的地平线
257,湛江,巢哥@我,广东,1,华为多产品代理
258,广州,桥,广东,2,“孩子，无论何时何地你都如此宝贵”
259,,A_＇Chen',,1,2015年4月13日
260,,王秋菊,,2,
261,汕头,Kuma?,广东,2,?
262,广州,★-Teng-★,广东,1,好生意，好生活，好朋友
263,,Salt黄怡,Paris,0,
264,广州,阿不思,广东,2,安静文艺的女子
265,广州,骆子健,广东,1,
266,广州,Mei,广东,2,
267,广州,噢__(:3,广东,1,不定期情绪稳定。
268,,Yvonne?,Kanagawa,2,朋友圈关掉惹，不是设置权限 (?-ι_-｀)
269,潮州,张幼钿,广东,2,正常而阳光的普通人。
270,湛江,S-vip,广东,1,别在奋斗的年龄选择安逸
271,,mushroom,Kerry,2,万物皆有裂痕，那是光进来的地方。
272,深圳,cc?,广东,2,"<span class=""emoji emoji1f451""></span>欲戴皇冠  必承其重"
273,广州,Lee_健慧Cam ?,广东,2,
274,广州,S.KY,广东,2,"

































凡心所向，素屡可往。<span class=""emoji emoji1f33b""></span>"
275,广州,翾翾翾翾翾,广东,2,哈哈哈哈哈
276,湛江,Kiko,广东,2,快乐阻挡不住！永远伴随身边！
277,广州,梅磊15915806064,广东,1,推荐人 梅磊  推荐人编码  meilei825
278,广州,°我是你健弟呀,广东,1,广东葆扬投资管理有限公司
279,广州,郑根创,广东,1,心若在，梦就在
280,广州,黄鑫亮,广东,1,证券从业人，谨慎的乐观主义者。
281,Edinburgh,Ellen詹剑灵,Scotland,2,急事电联电联电联
282,,黄耳朵,,2,?????????
283,滁州,柯南巧豆,安徽,2,身体和灵魂，总有一个要在路上
284,,佚的埃克斯次方,,1,看到黎海生就叫他多读书
285,湛江,Rachel竹?,广东,2,"wherever you are<span class=""emoji emoji1f483""></span>"
286,松江,月老下次请给我系死结,上海,1,"CPA顺利求过<span class=""emoji emoji1f64f""></span>"
287,湛江,陈欣欣,广东,2,真正的教育，是生命影响生命的过程。
288,广州,Leo,广东,2,最近要看很多周星星才行
289,广州,清风扬,广东,1,
290,湛江,吕小布,广东,1,热爱。坚持。
291,广州,Jolina,广东,2,"Follow you heart, but take your brain with you."
292,茂名,惠雯Vera,广东,2,ye yi ye，ye yi ye yi ye～
293,湛江,晓良,广东,1,         
294,,吴启智-Jeffrey,北京,1,Act in good faith.
295,潮州,章洁冰,广东,2,
296,广州,荣欣   ?  ?,广东,2,在努力这件事上，成果大于速度。
297,广州,郑慧华,广东,2,
298,广州,Cinzia,广东,2,?
299,,Doris.L,,2,"????? ??? appeared in my life + <span class=""emoji emoji1f499""></span>"
300,广州,L,广东,1,好，很好
301,,司徒君,,1,翻身打个盹
302,深圳,Apple?吴舒颖 13824363374,广东,2,“活着”才有的未来。
303,湛江,峰极,广东,1,"Which hurts more,the pain of hard work or the pain of regret"
304,湛江,my郭,广东,2,VV
305,揭阳,啊bu楠,广东,2,永远觉得自己不够好，要不够好
306,广州,悠悠,广东,2,悠悠我心
307,广州,CHEN,广东,1,机会是留给有准备的人！
308,广州,HSJ,广东,2,定目标，立即行动！
309,湛江,李毅,广东,1,事要一件一件办理，急不得！心态放豁达一点，群众的眼睛是雪亮的
310,广州,阿铎铎铎,广东,1,"? It's where my demons hide ?
PIG_PIG"
311,深圳,Dounp,广东,1,困了睡觉，醒了微笑…
312,韶关,鈁鈁,广东,2,正二三月风月无边 七人八只眼?
313,广州,罗世璋,广东,1,价格上下波动，但终将回归价值
314,湛江,小枫,广东,2,做好自己！
315,湛江,小卢,广东,2,多做少说
316,成都,怡仔,四川,0,不忘初心，方得始终。
317,湛江,翻滚吧@_@mango,广东,2,my boo
318,湛江,月燕,广东,2,13750028788
319,深圳,辜+锋=我,广东,1,为什么kendall jenner feel永恒的悲哀，但她还是那么有生命力？
320,湛江,欣欣然芷,广东,2,"难熬的日子里什么也没有说，所以以后也不必说。<span class=""emoji emoji1f343""></span>"
321,揭阳,Kaven–Li佳虹,广东,2,(???ω???)
322,阜阳,原,安徽,2,人嘛 开心最重要啦
323,茂名,八风不动,广东,1,在这个兵荒马乱的年代   很高兴能遇见你
324,广州,??陈文辉,广东,1,沉淀
325,揭阳,小太阳?,广东,1,我用文字  将这个世界重新堆砌给你
326,广州,胡婷婷,广东,2,smile
327,海淀,赵颖  Ying,北京,2,在路上
328,佛山,Damon  Lee,广东,1,勿忘初心
329,深圳,萧鹏&amp;君臣一梦,广东,1,面对问题，解决问题。
330,深圳,BB～w雯,广东,2,人贱自有天收！！
331,湛江,映元,广东,2,
332,湛江,ROUND,广东,1,
333,深圳,zyping,广东,2,愿你阳光下像个孩子，风雨里是个大人。
334,湛江,安之～周平儒,广东,1,安之。
335,广州,漫橙?,广东,1,差不多
336,广州,钟泳-paz,广东,2,"愿南风悠悠，我心依旧<span class=""emoji emoji2764""></span>"
337,广州,邓石阳,广东,1,winner winner chicken dinner 
338,,伯铭,,1,
339,广州,+-,广东,1,Make my day
340,,Shannon?,,2,?停更?
341,,木子冬门市?,,0,
342,梅州,罗林静?,广东,2,谢谢你们这么好看还关注我
343,,love02-yue,Male Atoll,2,把一切都变成最初的样子。
344,广州,魏少彪,广东,1,享乐不骄纵，自由严苛
345,安庆,wyf,安徽,1,金融农民工
346,福州,鼠鼠,福建,2,好好爱自己
347,广州,温晓芬,广东,2,友情客串，却留下刻骨铭心！
348,广州,陈光辉律师Glory,广东,2,律师 ，公司企业法律顾问，梦想家
349,,云卷云舒,Vienna,2,不乱于心，不困于情。如此 安好
350,东莞,木樨?,广东,2,认清现实吧孩子
351,,G-Dragon&amp;G.E.M.,,2,
352,佛山,张鸿儒Horu@CONCORD,广东,1,求知欲与思考......（wayne）
353,广州,此去经年未有期,广东,2,
354,广州,冰柠檬,广东,2,
355,揭阳,洁如,广东,2,学着习惯…
356,湛江,扬鹏,广东,1,
357,揭阳,黛淳,广东,2,
358,广州,鱼,广东,2,国家一级退堂鼓鼓手
359,佛山,Little_s,广东,2,怒己不争
360,广州,遇安.,广东,2,尘世迷途不识归。
361,兰州市,若,甘肃,2,
362,揭阳,敏妹,广东,2,
363,广州,Zheng,广东,1,别为了那些不属于你的观众，去演绎不擅长的人生。
364,湛江,工地堂客,广东,1,南方冷库   出入平安
365,,婷婷?,,2,逆向阳光，坚守信仰…
366,佛山,楚楚喵?,广东,2,∞努力が終わることはありません
367,,runner,,1,Owner
368,江门,Snowman,广东,2,"天猫淘宝独家内部优惠券，领券购物折上折，需要请戳<span class=""emoji emoji1f446""></span>"
369,汕头,陳晓珊,广东,2,深情若是一桩悲剧 必定以死来句读。
370,,Rubi_Leung,Dubayy,2,
371,东莞,戴桦森,广东,1,"森森自
律
森就
自
森森由"
372,汕头,Gu自立??,广东,1,旧习难改
373,,儒生,,2,他说：你抬起头仰望星星的时候，星星也落入了你的眼里。
374,湛江,阿羊,广东,2,听着耳机里的雨声入眠
375,,重度脸盲症患者?,,1,江南晚来客，红绳结发梢
376,广州,陈广镇_9_8_科技,广东,1,关注人工智能。
377,中山,倩?,广东,2,专业记录本喵的每一刻丑样
378,,化十化十,,2,
379,,曼琪GREEN,Buenos Aires,2,余生多吃点
380,,King雪雄?,,1,没死就还好……
381,广州,優越,广东,2,look what you made me do
